Timestamp,Image,Zoom Value (vw)
2026-03-01T00:14:50.641Z,Platform Image,80
2026-03-01T00:14:50.673Z,Platform Image,81
2026-03-01T00:14:50.721Z,Platform Image,82
2026-03-01T00:14:50.759Z,Platform Image,83
2026-03-01T00:14:50.813Z,Platform Image,84
2026-03-01T00:14:50.853Z,Platform Image,85
2026-03-01T00:14:50.869Z,Platform Image,86
2026-03-01T00:14:50.883Z,Platform Image,87
2026-03-01T00:14:50.894Z,Platform Image,88
2026-03-01T00:14:50.909Z,Platform Image,90
2026-03-01T00:14:50.923Z,Platform Image,91
2026-03-01T00:14:50.933Z,Platform Image,92
2026-03-01T00:14:50.958Z,Platform Image,93
2026-03-01T00:14:51.429Z,Platform Image,92
2026-03-01T00:14:51.485Z,Platform Image,91
2026-03-01T00:14:51.853Z,Platform Image,90
2026-03-01T00:14:52.214Z,Platform Image,91
2026-03-01T00:14:52.228Z,Platform Image,92
2026-03-01T00:14:52.249Z,Platform Image,93
2026-03-01T00:14:52.280Z,Platform Image,94
2026-03-01T00:14:52.424Z,Platform Image,95
2026-03-01T00:14:52.500Z,Platform Image,96
2026-03-01T00:14:52.583Z,Platform Image,97
2026-03-01T00:14:52.770Z,Platform Image,98
2026-03-01T00:14:58.295Z,Platform Image,108
2026-03-01T00:14:58.372Z,Platform Image,109
2026-03-01T00:14:58.409Z,Platform Image,110
2026-03-01T00:14:58.427Z,Platform Image,111
2026-03-01T00:14:58.445Z,Platform Image,112
2026-03-01T00:14:58.460Z,Platform Image,113
2026-03-01T00:14:58.472Z,Platform Image,114
2026-03-01T00:14:58.496Z,Platform Image,115
2026-03-01T00:14:58.555Z,Platform Image,116
2026-03-01T00:14:58.721Z,Platform Image,117
2026-03-01T00:14:58.860Z,Platform Image,118
2026-03-01T00:14:58.922Z,Platform Image,119
2026-03-01T00:14:58.999Z,Platform Image,120
2026-03-01T00:14:59.041Z,Platform Image,121
2026-03-01T00:14:59.069Z,Platform Image,122
2026-03-01T00:14:59.096Z,Platform Image,123
2026-03-01T00:14:59.138Z,Platform Image,124
2026-03-01T00:14:59.173Z,Platform Image,125
2026-03-01T00:14:59.200Z,Platform Image,126
2026-03-01T00:14:59.242Z,Platform Image,127
2026-03-01T00:14:59.305Z,Platform Image,128
2026-03-01T00:14:59.340Z,Platform Image,129
2026-03-01T00:14:59.427Z,Platform Image,130
